MODEL NAME,LOG TIME,SERIAL NUMBER,LOCATION,STATUS,BATTERY,TIME ZONE,CO(ppm),Custom1(ppm),H2S(ppm),LEL(%LEL),O2(%)
AreaRAE Plus,2025-12-12 13:12:03,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.429,0,0,20.9
AreaRAE Plus,2025-12-12 13:12:00,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.67,0,0,20.2
AreaRAE Plus,2025-12-12 13:12:00,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.429,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:58,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.423,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:54,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.726,0,0,20.2
AreaRAE Plus,2025-12-12 13:11:52,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.425,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:49,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.722,0,0,20.2
AreaRAE Plus,2025-12-12 13:11:47,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.418,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:39,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.419,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:34,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.724,0,0,20.2
AreaRAE Plus,2025-12-12 13:11:30,W01B00002478,Lng:145.005249 Lat:-37.829643,,29,UTC+11:00,0,0.414,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:27,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.722,0,0,20.2
AreaRAE Plus,2025-12-12 13:11:27,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.424,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:20,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.414,0,0,20.9
AreaRAE Plus,2025-12-12 13:11:03,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.723,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:59,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.412,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:47,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.722,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:44,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.412,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:41,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.722,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:40,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.412,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:40,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.719,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:38,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.412,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:36,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.718,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:34,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.41,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:34,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.719,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:32,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.405,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:32,W01B00000781,Lng:145.005142 Lat:-37.829582,,84,UTC+11:00,0,0.719,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:27,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.718,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:25,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.408,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:20,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.404,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:07,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.716,0,0,20.2
AreaRAE Plus,2025-12-12 13:10:07,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.401,0,0,20.9
AreaRAE Plus,2025-12-12 13:10:00,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.718,0,0,20.2
AreaRAE Plus,2025-12-12 13:09:58,W01B00002478,Lng:145.005249 Lat:-37.829643,,30,UTC+11:00,0,0.4,0,0,20.9
AreaRAE Plus,2025-12-12 13:09:40,W01B00002478,Lng:145.005249 Lat:-37.82964,,30,UTC+11:00,0,0.398,0,0,20.9
AreaRAE Plus,2025-12-12 13:09:30,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.716,0,0,20.2
AreaRAE Plus,2025-12-12 13:09:30,W01B00002478,Lng:145.005249 Lat:-37.82964,,30,UTC+11:00,0,0.396,0,0,20.9
AreaRAE Plus,2025-12-12 13:09:26,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.716,0,0,20.2
AreaRAE Plus,2025-12-12 13:09:23,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.715,0,0,20.2
AreaRAE Plus,2025-12-12 13:09:19,W01B00002478,Lng:145.005249 Lat:-37.829636,,30,UTC+11:00,0,0.393,0,0,20.9
AreaRAE Plus,2025-12-12 13:09:17,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:09:13,W01B00002478,Lng:145.005264 Lat:-37.82962,,30,UTC+11:00,0,0.392,0,0,20.9
AreaRAE Plus,2025-12-12 13:09:08,W01B00002478,Lng:145.005264 Lat:-37.829597,,30,UTC+11:00,0,0.383,0,0,20.9
AreaRAE Plus,2025-12-12 13:08:43,W01B00002478,Lng:145.005264 Lat:-37.82959,,31,UTC+11:00,0,0.385,0,0,20.9
AreaRAE Plus,2025-12-12 13:08:16,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:08:13,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.38,0,0,20.9
AreaRAE Plus,2025-12-12 13:08:08,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.715,0,0,20.2
AreaRAE Plus,2025-12-12 13:08:07,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.382,0,0,20.9
AreaRAE Plus,2025-12-12 13:08:07,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.711,0,0,20.2
AreaRAE Plus,2025-12-12 13:08:05,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.383,0,0,20.9
AreaRAE Plus,2025-12-12 13:08:03,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.712,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:58,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.383,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:56,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:54,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.381,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:54,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.712,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:52,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.377,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:52,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.711,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:51,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.377,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:51,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.709,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:48,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.381,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:48,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.711,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:47,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.381,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:47,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.714,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:45,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.382,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:45,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.712,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:43,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.381,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:43,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.712,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:40,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.377,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:37,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.703,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:30,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.709,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:24,W01B00000781,Lng:145.005142 Lat:-37.829586,,84,UTC+11:00,0,0.709,0,0,20.2
AreaRAE Plus,2025-12-12 13:07:17,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.377,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:11,W01B00002478,Lng:145.005264 Lat:-37.829586,,31,UTC+11:00,0,0.377,0,0,20.9
AreaRAE Plus,2025-12-12 13:07:04,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.374,0,0,20.9
AreaRAE Plus,2025-12-12 13:06:54,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.373,0,0,20.9
AreaRAE Plus,2025-12-12 13:06:46,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.372,0,0,20.9
AreaRAE Plus,2025-12-12 13:06:37,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.369,0,0,20.9
AreaRAE Plus,2025-12-12 13:06:27,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.372,0,0,20.9
AreaRAE Plus,2025-12-12 13:06:22,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.707,0,0,20.3
AreaRAE Plus,2025-12-12 13:06:05,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.369,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:57,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.368,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:37,W01B00002478,Lng:145.005264 Lat:-37.829582,,31,UTC+11:00,0,0.369,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:20,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.707,0,0,20.3
AreaRAE Plus,2025-12-12 13:05:20,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.372,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:16,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.372,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:13,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.702,0,0,20.2
AreaRAE Plus,2025-12-12 13:05:13,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:09,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.7,0,0,20.2
AreaRAE Plus,2025-12-12 13:05:09,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.365,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:07,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:05:07,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.37,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:05,W01B00000781,Lng:145.005127 Lat:-37.829586,,84,UTC+11:00,0,0.702,0,0,20.2
AreaRAE Plus,2025-12-12 13:05:05,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:03,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.706,0,0,20.3
AreaRAE Plus,2025-12-12 13:05:02,W01B00002478,Lng:145.005264 Lat:-37.829582,,32,UTC+11:00,0,0.362,0,0,20.9
AreaRAE Plus,2025-12-12 13:05:02,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:59,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.368,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:57,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.7,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:56,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.368,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:56,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.702,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:54,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:52,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:52,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.365,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:50,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.703,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:50,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.368,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:48,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.699,0,0,20.3
AreaRAE Plus,2025-12-12 13:04:48,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:44,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.7,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:43,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.37,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:43,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:41,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:35,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.703,0,0,20.3
AreaRAE Plus,2025-12-12 13:04:35,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.362,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:33,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.706,0,0,20.3
AreaRAE Plus,2025-12-12 13:04:33,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.365,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:31,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.703,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:29,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.364,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:29,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.703,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:28,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.362,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:28,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.706,0,0,20.2
AreaRAE Plus,2025-12-12 13:04:26,W01B00002478,Lng:145.005264 Lat:-37.82958,,32,UTC+11:00,0,0.368,0,0,20.9
AreaRAE Plus,2025-12-12 13:04:20,W01B00000781,Lng:145.005127 Lat:-37.829586,,85,UTC+11:00,0,0.706,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:59,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.364,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:59,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.709,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:57,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.707,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:56,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.366,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:54,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.707,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:52,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.364,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:50,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:47,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.364,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:45,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.703,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:43,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.36,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:43,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.706,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:41,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.361,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:40,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.7,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:40,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.358,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:38,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:33,W01B00000781,Lng:145.005127 Lat:-37.829582,,85,UTC+11:00,0,0.704,0,0,20.2
AreaRAE Plus,2025-12-12 13:03:29,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.358,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:23,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.355,0,0,20.9
AreaRAE Plus,2025-12-12 13:03:18,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.355,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:57,W01B00002478,Lng:145.005264 Lat:-37.82957,,33,UTC+11:00,0,0.352,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:48,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.356,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:38,W01B00002478,Lng:145.005264 Lat:-37.829575,,32,UTC+11:00,0,0.353,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:27,W01B00002478,Lng:145.005264 Lat:-37.82957,,33,UTC+11:00,0,0.353,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:21,W01B00002478,Lng:145.005264 Lat:-37.82957,,33,UTC+11:00,0,0.35,0,0,20.9
AreaRAE Plus,2025-12-12 13:02:02,W01B00002478,Lng:145.005264 Lat:-37.829567,,33,UTC+11:00,0,0.346,0,0,20.9
AreaRAE Plus,2025-12-12 13:01:54,W01B00002478,Lng:145.005264 Lat:-37.82957,,33,UTC+11:00,0,0.355,0,0,20.9
AreaRAE Plus,2025-12-12 13:01:47,W01B00002478,Lng:145.005264 Lat:-37.82957,,33,UTC+11:00,0,0.35,0,0,20.9
AreaRAE Plus,2025-12-12 13:01:39,W01B00002478,Lng:145.005264 Lat:-37.829567,,33,UTC+11:00,0,0.351,0,0,20.9
